Trait,Condition
Ankylosing_Spondylitis,Sjögrens_Syndrome
Sjögrens_Syndrome,Ankylosing_Spondylitis
Osteoporosis,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Osteoporosis
Liver_cirrhosis,Coronary_artery_disease
Coronary_artery_disease,Liver_cirrhosis
Glucocorticoid_Sensitivity,Lung_Cancer
Lung_Cancer,Glucocorticoid_Sensitivity
Susceptibility_to_Infections,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Susceptibility_to_Infections
lower_grade_glioma_and_glioblastoma,Coronary_artery_disease
Coronary_artery_disease,lower_grade_glioma_and_glioblastoma
Parkinsons_Disease,HIV_Resistance
HIV_Resistance,Parkinsons_Disease
Obesity,Osteoarthritis
Osteoarthritis,Obesity
Crohns_Disease,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Crohns_Disease
Kidney_Papillary_Cell_Carcinoma,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Kidney_Papillary_Cell_Carcinoma
COVID-19,Obstructive_sleep_apnea
Obstructive_sleep_apnea,COVID-19
Chronic_obstructive_pulmonary_disease_(COPD),Head_and_Neck_Cancer
Head_and_Neck_Cancer,Chronic_obstructive_pulmonary_disease_(COPD)
Head_and_Neck_Cancer,Rectal_Cancer
Rectal_Cancer,Head_and_Neck_Cancer
Atrial_Fibrillation,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Atrial_Fibrillation
Obesity,Chronic_kidney_disease
Chronic_kidney_disease,Obesity
Breast_Cancer,Thyroid_Cancer
Thyroid_Cancer,Breast_Cancer
Kidney_Papillary_Cell_Carcinoma,Age
Breast_Cancer,Osteoarthritis
Osteoarthritis,Breast_Cancer
Atrial_Fibrillation,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Atrial_Fibrillation
Obesity,Bladder_Cancer
Bladder_Cancer,Obesity
Susceptibility_to_Infections,Celiac_Disease
Celiac_Disease,Susceptibility_to_Infections
Coronary_artery_disease,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Coronary_artery_disease
Liver_cirrhosis,Lower_Grade_Glioma
Lower_Grade_Glioma,Liver_cirrhosis
Ankylosing_Spondylitis,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Ankylosing_Spondylitis
Post-Traumatic_Stress_Disorder,Obsessive-Compulsive_Disorder
Obsessive-Compulsive_Disorder,Post-Traumatic_Stress_Disorder
Lupus_(Systemic_Lupus_Erythematosus),Cervical_Cancer
Cervical_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Susceptibility_to_Infections,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Susceptibility_to_Infections
lower_grade_glioma_and_glioblastoma,Osteoporosis
Osteoporosis,lower_grade_glioma_and_glioblastoma
Inflammatory_Disorders,Cystic_Fibrosis
Cystic_Fibrosis,Inflammatory_Disorders
Cervical_Cancer,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Cervical_Cancer
Cervical_Cancer,Coronary_artery_disease
Coronary_artery_disease,Cervical_Cancer
Large_B-cell_Lymphoma,Thyroid_Cancer
Thyroid_Cancer,Large_B-cell_Lymphoma
Asthma,Breast_Cancer
Breast_Cancer,Asthma
Inflammatory_Disorders,Breast_Cancer
Breast_Cancer,Inflammatory_Disorders
Chronic_obstructive_pulmonary_disease_(COPD),Crohns_Disease
Crohns_Disease,Chronic_obstructive_pulmonary_disease_(COPD)
Osteoarthritis,COVID-19
COVID-19,Osteoarthritis
Large_B-cell_Lymphoma,Pancreatic_Cancer
Pancreatic_Cancer,Large_B-cell_Lymphoma
Lung_Cancer,Atrial_Fibrillation
Atrial_Fibrillation,Lung_Cancer
Liver_cirrhosis,Chronic_kidney_disease
Chronic_kidney_disease,Liver_cirrhosis
Chronic_obstructive_pulmonary_disease_(COPD),Endometriosis
Endometriosis,Chronic_obstructive_pulmonary_disease_(COPD)
Atrial_Fibrillation,lower_grade_glioma_and_glioblastoma
lower_grade_glioma_and_glioblastoma,Atrial_Fibrillation
Liver_cirrhosis,Endometriosis
Endometriosis,Liver_cirrhosis
Esophageal_Cancer,Head_and_Neck_Cancer
Head_and_Neck_Cancer,Esophageal_Cancer
Thyroid_Cancer,Age
Type_1_Diabetes_Risk,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Type_1_Diabetes_Risk
Endometriosis,Endometrioid_Cancer
Endometrioid_Cancer,Endometriosis
Asthma,Sjögrens_Syndrome
Sjögrens_Syndrome,Asthma
Obesity,Endometriosis
Endometriosis,Obesity
Crohns_Disease,Celiac_Disease
Celiac_Disease,Crohns_Disease
Osteoarthritis,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Osteoarthritis
Liver_cirrhosis,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Liver_cirrhosis
Endometriosis,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Endometriosis
Obstructive_sleep_apnea,Coronary_artery_disease
Coronary_artery_disease,Obstructive_sleep_apnea
Chronic_kidney_disease,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Chronic_kidney_disease
Lupus_(Systemic_Lupus_Erythematosus),Liver_Cancer
Liver_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Endometrioid_Cancer,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Endometrioid_Cancer
Inflammatory_Disorders,Esophageal_Cancer
Esophageal_Cancer,Inflammatory_Disorders
Obesity,Gender
Parkinsons_Disease,Coronary_artery_disease
Coronary_artery_disease,Parkinsons_Disease
Large_B-cell_Lymphoma,Esophageal_Cancer
Esophageal_Cancer,Large_B-cell_Lymphoma
Lower_Grade_Glioma,Parkinsons_Disease
Parkinsons_Disease,Lower_Grade_Glioma
Inflammatory_Disorders,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Inflammatory_Disorders
Kidney_Papillary_Cell_Carcinoma,Crohns_Disease
Crohns_Disease,Kidney_Papillary_Cell_Carcinoma
Rectal_Cancer,Endometrioid_Cancer
Endometrioid_Cancer,Rectal_Cancer
Ankylosing_Spondylitis,Osteoporosis
Osteoporosis,Ankylosing_Spondylitis
Esophageal_Cancer,Coronary_artery_disease
Coronary_artery_disease,Esophageal_Cancer
Endometrioid_Cancer,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Endometrioid_Cancer
Thyroid_Cancer,Asthma
Asthma,Thyroid_Cancer
Asthma,Parkinsons_Disease
Parkinsons_Disease,Asthma
Glucocorticoid_Sensitivity,Chronic_kidney_disease
Chronic_kidney_disease,Glucocorticoid_Sensitivity
Kidney_Papillary_Cell_Carcinoma,Gender
Endometriosis,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Endometriosis
Crohns_Disease,Gender
Glucocorticoid_Sensitivity,Atrial_Fibrillation
Atrial_Fibrillation,Glucocorticoid_Sensitivity
Lower_Grade_Glioma,Atrial_Fibrillation
Atrial_Fibrillation,Lower_Grade_Glioma
Susceptibility_to_Infections,Osteoarthritis
Osteoarthritis,Susceptibility_to_Infections
Coronary_artery_disease,Thyroid_Cancer
Thyroid_Cancer,Coronary_artery_disease
Parkinsons_Disease,Gender
Kidney_Papillary_Cell_Carcinoma,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Kidney_Papillary_Cell_Carcinoma
lower_grade_glioma_and_glioblastoma,Age
Endometriosis,Breast_Cancer
Breast_Cancer,Endometriosis
Chronic_kidney_disease,Pancreatic_Cancer
Pancreatic_Cancer,Chronic_kidney_disease
Large_B-cell_Lymphoma,Asthma
Asthma,Large_B-cell_Lymphoma
Lung_Cancer,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Lung_Cancer
Large_B-cell_Lymphoma,Crohns_Disease
Crohns_Disease,Large_B-cell_Lymphoma
Atrial_Fibrillation,Osteoarthritis
Osteoarthritis,Atrial_Fibrillation
Alopecia,Psoriatic_Arthritis
Psoriatic_Arthritis,Alopecia
Liver_cirrhosis,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Liver_cirrhosis
Lupus_(Systemic_Lupus_Erythematosus),Obesity
Obesity,Lupus_(Systemic_Lupus_Erythematosus)
Liver_cirrhosis,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Liver_cirrhosis
Sjögrens_Syndrome,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Sjögrens_Syndrome
Ankylosing_Spondylitis,Celiac_Disease
Celiac_Disease,Ankylosing_Spondylitis
Endometrioid_Cancer,Liver_Cancer
Liver_Cancer,Endometrioid_Cancer
Obstructive_sleep_apnea,Susceptibility_to_Infections
Susceptibility_to_Infections,Obstructive_sleep_apnea
Esophageal_Cancer,Rectal_Cancer
Rectal_Cancer,Esophageal_Cancer
Large_B-cell_Lymphoma,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Large_B-cell_Lymphoma
Crohns_Disease,Cystic_Fibrosis
Cystic_Fibrosis,Crohns_Disease
Inflammatory_Disorders,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Inflammatory_Disorders
Kidney_Papillary_Cell_Carcinoma,Breast_Cancer
Breast_Cancer,Kidney_Papillary_Cell_Carcinoma
Osteoporosis,Thyroid_Cancer
Thyroid_Cancer,Osteoporosis
Head_and_Neck_Cancer,Thyroid_Cancer
Thyroid_Cancer,Head_and_Neck_Cancer
Psoriatic_Arthritis,Sjögrens_Syndrome
Sjögrens_Syndrome,Psoriatic_Arthritis
Head_and_Neck_Cancer,Inflammatory_Disorders
Inflammatory_Disorders,Head_and_Neck_Cancer
Lupus_(Systemic_Lupus_Erythematosus),Thyroid_Cancer
Thyroid_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Head_and_Neck_Cancer,Gender
Asthma,Atrial_Fibrillation
Atrial_Fibrillation,Asthma
Liver_Cancer,Coronary_artery_disease
Coronary_artery_disease,Liver_Cancer
Head_and_Neck_Cancer,Endometrioid_Cancer
Endometrioid_Cancer,Head_and_Neck_Cancer
Cystic_Fibrosis,Sjögrens_Syndrome
Sjögrens_Syndrome,Cystic_Fibrosis
Parkinsons_Disease,Endometriosis
Endometriosis,Parkinsons_Disease
Chronic_kidney_disease,Bladder_Cancer
Bladder_Cancer,Chronic_kidney_disease
Esophageal_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Esophageal_Cancer
Parkinsons_Disease,Chronic_kidney_disease
Chronic_kidney_disease,Parkinsons_Disease
Chronic_kidney_disease,Polycystic_Kidney_Disease
Polycystic_Kidney_Disease,Chronic_kidney_disease
Cystic_Fibrosis,Lung_Cancer
Lung_Cancer,Cystic_Fibrosis
Obsessive-Compulsive_Disorder,Anxiety_disorder
Anxiety_disorder,Obsessive-Compulsive_Disorder
Chronic_obstructive_pulmonary_disease_(COPD),Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Psoriatic_Arthritis
Psoriatic_Arthritis,Chronic_obstructive_pulmonary_disease_(COPD)
Crohns_Disease,Liver_cirrhosis
Liver_cirrhosis,Crohns_Disease
Osteoarthritis,Parkinsons_Disease
Parkinsons_Disease,Osteoarthritis
COVID-19,Age
Sjögrens_Syndrome,Endometriosis
Endometriosis,Sjögrens_Syndrome
Liver_cirrhosis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Liver_cirrhosis
Glucocorticoid_Sensitivity,Osteoarthritis
Osteoarthritis,Glucocorticoid_Sensitivity
Liver_cirrhosis,Liver_Cancer
Liver_Cancer,Liver_cirrhosis
Lung_Cancer,Liver_cirrhosis
Liver_cirrhosis,Lung_Cancer
Glucocorticoid_Sensitivity,Osteoporosis
Osteoporosis,Glucocorticoid_Sensitivity
Sjögrens_Syndrome,Liver_cirrhosis
Liver_cirrhosis,Sjögrens_Syndrome
Glucocorticoid_Sensitivity,Crohns_Disease
Crohns_Disease,Glucocorticoid_Sensitivity
Liver_Cancer,Asthma
Asthma,Liver_Cancer
Thyroid_Cancer,Gender
Chronic_kidney_disease,Cervical_Cancer
Cervical_Cancer,Chronic_kidney_disease
Thyroid_Cancer,Chronic_kidney_disease
Chronic_kidney_disease,Thyroid_Cancer
Chronic_obstructive_pulmonary_disease_(COPD),Osteoporosis
Osteoporosis,Chronic_obstructive_pulmonary_disease_(COPD)
Obstructive_sleep_apnea,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Obstructive_sleep_apnea
Esophageal_Cancer,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Esophageal_Cancer
Glucocorticoid_Sensitivity,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Glucocorticoid_Sensitivity
Coronary_artery_disease,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Coronary_artery_disease
Obstructive_sleep_apnea,Cystic_Fibrosis
Cystic_Fibrosis,Obstructive_sleep_apnea
Liver_cirrhosis,Atrial_Fibrillation
Atrial_Fibrillation,Liver_cirrhosis
Cervical_Cancer,Obesity
Obesity,Cervical_Cancer
Chronic_kidney_disease,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Chronic_kidney_disease
Atrial_Fibrillation,COVID-19
COVID-19,Atrial_Fibrillation
Breast_Cancer,Coronary_artery_disease
Coronary_artery_disease,Breast_Cancer
Kidney_Papillary_Cell_Carcinoma,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Kidney_Papillary_Cell_Carcinoma
Susceptibility_to_Infections,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Susceptibility_to_Infections
Coronary_artery_disease,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Coronary_artery_disease
lower_grade_glioma_and_glioblastoma,Obstructive_sleep_apnea
Obstructive_sleep_apnea,lower_grade_glioma_and_glioblastoma
Liver_Cancer,Age
Head_and_Neck_Cancer,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,Head_and_Neck_Cancer
Ankylosing_Spondylitis,Lower_Grade_Glioma
Lower_Grade_Glioma,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Gender
Parkinsons_Disease,Pancreatic_Cancer
Pancreatic_Cancer,Parkinsons_Disease
lower_grade_glioma_and_glioblastoma,Parkinsons_Disease
Parkinsons_Disease,lower_grade_glioma_and_glioblastoma
Sjögrens_Syndrome,Crohns_Disease
Parkinsons_Disease,Obesity
Obesity,Parkinsons_Disease
Crohns_Disease,Sjögrens_Syndrome
Kidney_Papillary_Cell_Carcinoma,Rectal_Cancer
Rectal_Cancer,Kidney_Papillary_Cell_Carcinoma
Osteoporosis,Asthma
Asthma,Osteoporosis
Pancreatic_Cancer,Crohns_Disease
Crohns_Disease,Pancreatic_Cancer
Asthma,Esophageal_Cancer
Esophageal_Cancer,Asthma
Chronic_obstructive_pulmonary_disease_(COPD),Osteoarthritis
Osteoarthritis,Chronic_obstructive_pulmonary_disease_(COPD)
Endometriosis,Atrial_Fibrillation
Atrial_Fibrillation,Endometriosis
HIV_Resistance,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,HIV_Resistance
Coronary_artery_disease,Cystic_Fibrosis
Cystic_Fibrosis,Coronary_artery_disease
Cystic_Fibrosis,Gender
Large_B-cell_Lymphoma,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Large_B-cell_Lymphoma
Osteoporosis,Atrial_Fibrillation
Atrial_Fibrillation,Osteoporosis
Lung_Cancer,Rectal_Cancer
Rectal_Cancer,Lung_Cancer
Bladder_Cancer,Gender
Atrial_Fibrillation,Arrhythmia
Arrhythmia,Atrial_Fibrillation
Asthma,Liver_cirrhosis
Liver_cirrhosis,Asthma
Type_1_Diabetes_Risk,Cystic_Fibrosis
Cystic_Fibrosis,Type_1_Diabetes_Risk
Esophageal_Cancer,Age
COVID-19,Large_B-cell_Lymphoma
Large_B-cell_Lymphoma,COVID-19
Thyroid_Cancer,Endometrioid_Cancer
Endometrioid_Cancer,Thyroid_Cancer
Colon_and_Rectal_Cancer,Liver_Cancer
Liver_Cancer,Colon_and_Rectal_Cancer
Endometrioid_Cancer,Lung_Cancer
Lung_Cancer,Endometrioid_Cancer
Lupus_(Systemic_Lupus_Erythematosus),Parkinsons_Disease
Parkinsons_Disease,Lupus_(Systemic_Lupus_Erythematosus)
Liver_Cancer,Osteoporosis
Osteoporosis,Liver_Cancer
Glucocorticoid_Sensitivity,Rectal_Cancer
Rectal_Cancer,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Type_1_Diabetes_Risk
Type_1_Diabetes_Risk,Glucocorticoid_Sensitivity
Thyroid_Cancer,Crohns_Disease
Crohns_Disease,Thyroid_Cancer
Liver_Cancer,Rectal_Cancer
Rectal_Cancer,Liver_Cancer
Bladder_Cancer,Osteoporosis
Osteoporosis,Bladder_Cancer
Ankylosing_Spondylitis,Cystic_Fibrosis
Cystic_Fibrosis,Ankylosing_Spondylitis
Glucocorticoid_Sensitivity,Coronary_artery_disease
Coronary_artery_disease,Glucocorticoid_Sensitivity
Lung_Cancer,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Lung_Cancer
Type_1_Diabetes_Risk,Chronic_obstructive_pulmonary_disease_(COPD)
Chronic_obstructive_pulmonary_disease_(COPD),Type_1_Diabetes_Risk
Psoriatic_Arthritis,Eczema
Eczema,Psoriatic_Arthritis
lower_grade_glioma_and_glioblastoma,Ankylosing_Spondylitis
Ankylosing_Spondylitis,lower_grade_glioma_and_glioblastoma
Liver_cirrhosis,Osteoarthritis
Osteoarthritis,Liver_cirrhosis
Bladder_Cancer,Head_and_Neck_Cancer
Head_and_Neck_Cancer,Bladder_Cancer
Cystic_Fibrosis,Endometriosis
Endometriosis,Cystic_Fibrosis
Lupus_(Systemic_Lupus_Erythematosus),Breast_Cancer
Breast_Cancer,Lupus_(Systemic_Lupus_Erythematosus)
Esophageal_Cancer,Osteoporosis
Osteoporosis,Esophageal_Cancer
Esophageal_Cancer,Chronic_kidney_disease
Chronic_kidney_disease,Esophageal_Cancer
Large_B-cell_Lymphoma,Rectal_Cancer
Rectal_Cancer,Large_B-cell_Lymphoma
Cystic_Fibrosis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Cystic_Fibrosis
Glucocorticoid_Sensitivity,Head_and_Neck_Cancer
Head_and_Neck_Cancer,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Liver_Cancer
Liver_Cancer,Glucocorticoid_Sensitivity
Glucocorticoid_Sensitivity,Cystic_Fibrosis
Cystic_Fibrosis,Glucocorticoid_Sensitivity
Crohns_Disease,Obesity
Obesity,Crohns_Disease
Sjögrens_Syndrome,Chronic_kidney_disease
Chronic_kidney_disease,Sjögrens_Syndrome
Atrial_Fibrillation,Susceptibility_to_Infections
Susceptibility_to_Infections,Atrial_Fibrillation
Crohns_Disease,Osteoporosis
Osteoporosis,Crohns_Disease
Cystic_Fibrosis,Liver_cirrhosis
Liver_cirrhosis,Cystic_Fibrosis
Esophageal_Cancer,Endometrioid_Cancer
Endometrioid_Cancer,Esophageal_Cancer
Parkinsons_Disease,COVID-19
COVID-19,Parkinsons_Disease
Lower_Grade_Glioma,Obstructive_sleep_apnea
Obstructive_sleep_apnea,Lower_Grade_Glioma
Alopecia,Susceptibility_to_Infections
Susceptibility_to_Infections,Alopecia
Thymoma,Ocular_Melanomas
Ocular_Melanomas,Thymoma
Alopecia,Ankylosing_Spondylitis
Ankylosing_Spondylitis,Alopecia
Esophageal_Cancer,Breast_Cancer
Breast_Cancer,Esophageal_Cancer
Osteoporosis,Lupus_(Systemic_Lupus_Erythematosus)
Lupus_(Systemic_Lupus_Erythematosus),Osteoporosis
Lung_Cancer,Colon_and_Rectal_Cancer
Colon_and_Rectal_Cancer,Lung_Cancer
Coronary_artery_disease,Sjögrens_Syndrome
Sjögrens_Syndrome,Coronary_artery_disease
Osteoporosis,Kidney_Papillary_Cell_Carcinoma
Kidney_Papillary_Cell_Carcinoma,Osteoporosis
Lower_Grade_Glioma,Obesity
COVID-19,Obesity
Thyroid_Cancer,Obesity
Kidney_Papillary_Cell_Carcinoma,Obesity
Liver_Cancer,Obesity
Osteoporosis,Obesity
Atrial_Fibrillation,Obesity
lower_grade_glioma_and_glioblastoma,Obesity
Susceptibility_to_Infections,Obesity
Bipolar_disorder,Obesity
Chronic_obstructive_pulmonary_disease_(COPD),Obesity
Esophageal_Cancer,Obesity
Glucocorticoid_Sensitivity,Obesity
Large_B-cell_Lymphoma,Obesity
Cystic_Fibrosis,Obesity
Liver_cirrhosis,Obesity
Obstructive_sleep_apnea,Obesity
Ankylosing_Spondylitis,Obesity
Sjögrens_Syndrome,Obesity
Head_and_Neck_Cancer,Obesity
Celiac_Disease,Obesity
Alopecia,Obesity
Endometrioid_Cancer,Obesity
Rectal_Cancer,Obesity
Colon_and_Rectal_Cancer,Obesity
Huntingtons_Disease,Obesity
Intellectual_Disability,Obesity
Psoriatic_Arthritis,Obesity
Irritable_bowel_syndrome_(IBS),Obesity
Polycystic_Kidney_Disease,Obesity
Eczema,Obesity
Stomach_Cancer,Obesity
Physical_Exercise_Response,Obesity
Bone_Density,Obesity
Chronic_Fatigue_Syndrome,Obesity
Post-Traumatic_Stress_Disorder,Obesity
Ocular_Melanomas,Obesity
Obsessive-Compulsive_Disorder,Obesity
Thymoma,Obesity
Autism_spectrum_disorder_(ASD),Obesity
Duchenne_Muscular_Dystrophy,Obesity
Arrhythmia,Obesity
Essential_Thrombocythemia,Obesity
Anxiety_disorder,Obesity
Gaucher_Disease,Obesity
Autoinflammatory_Disorders,Obesity
Uterine_Corpus_Endometrial_Carcinoma,Obesity
Generalized_Anxiety_Disorder,Obesity
Underweight,Obesity
Kidney_Chromophobe,Obesity
Gastroesophageal_reflux_disease_(GERD),Obesity
Uterine_Carcinosarcoma,Obesity
Bile_Duct_Cancer,Obesity
Multiple_Endocrine_Neoplasia_Type_2,Obesity
Substance_Use_Disorder,Obesity
Mitochondrial_Disorders,Obesity
Kidney_stones,Obesity
Aniridia,Obesity
Multiple_Chemical_Sensitivity,Obesity
